model,dataset,id,name,_runtime,_step,_timestamp,test_accuracy,test_loss,train_accuracy,train_loss
meta-llama/Llama-3.2-1B-Instruct,BPI12,8usfraro,northern-pine-2,21721.501509587,2,1753385203.5694878,0.021389574452172613,2.221855923033057,0.02102634626519977,2.2284193541455557
meta-llama/Llama-3.2-1B-Instruct,BPI17,4md2uvkt,eager-vortex-3,125977.516460458,2,1753511442.660566,0.18513485260296889,1.9862114732078875,0.21758192165301732,1.920522545960996
meta-llama/Llama-3.2-1B-Instruct,BPI20RequestForPayment,mx5p0dbg,misty-blaze-4,1768.221169912,2,1753513236.3248906,0.415045170257123,2.150660723758456,0.43498616726963185,2.1321338471211533
meta-llama/Llama-3.2-1B-Instruct,BPI20TravelPermitData,jmeu2o9x,azure-wildflower-8,10414.133356208,2,1753546720.077908,0.4204405658949564,1.9878511265224992,0.458368288590604,1.9387459889554337
meta-llama/Llama-3.2-1B-Instruct,BPI20PrepaidTravelCosts,m5h4jk5z,rosy-fire-13,1351.629737978,2,1753694159.873863,0.23537234042553193,2.4154124395221683,0.25889830508474576,2.394389557030242
