na_acc,na_loss,rt_loss,log,id,backbone
0.4872033171289677,1.6853409745470265,2.6422796616528355,BPI12,em7aqjhd,llama32-1b
0.38767157563625965,1.978967108827405,0.9904879205118495,BPI12,em7aqjhd,llama32-1b
0.6042858164140692,1.2689940529207793,0.8988118376907772,BPI12,em7aqjhd,llama32-1b
0.5022876751501287,1.977389923326963,1.55715865322887,BPI12,em7aqjhd,llama32-1b
0.45571203889047757,1.8525528320592575,1.2967206335959176,BPI12,em7aqjhd,llama32-1b
0.6266263940520446,1.2113953715295223,1.1554648369883074,BPI12,em7aqjhd,llama32-1b
0.6045717758078353,1.2683465608638254,1.4344372325943033,BPI12,em7aqjhd,llama32-1b
0.6705032885330283,1.024213185251049,1.1250380545168528,BPI12,em7aqjhd,llama32-1b
0.6276987417786675,1.0487930410618027,1.046349059855355,BPI12,em7aqjhd,llama32-1b
0.6852838146983128,0.9506845047107791,1.0863972779918405,BPI12,em7aqjhd,llama32-1b
0.6873034029167858,0.9816671842365631,1.1980058860149867,BPI12,em7aqjhd,llama32-1b
0.7032635115813555,0.9022082574100947,1.0105317676530963,BPI12,em7aqjhd,llama32-1b
0.6907349156419789,0.9426693696957982,0.8665170618081249,BPI12,em7aqjhd,llama32-1b
0.7102337718044037,0.9156425198998696,0.844439510365776,BPI12,em7aqjhd,llama32-1b
0.7251215327423506,0.8771028708211688,1.2769332921948984,BPI12,em7aqjhd,llama32-1b
0.7229589648269946,0.8243738061058409,0.9871135785779444,BPI12,em7aqjhd,llama32-1b
0.6353839004861309,1.087658633921942,0.9513931089992484,BPI12,em7aqjhd,llama32-1b
0.7020839290820704,0.9260886303690593,1.2939082480400315,BPI12,em7aqjhd,llama32-1b
0.7454246496997426,0.7586124319842041,1.269996649066073,BPI12,em7aqjhd,llama32-1b
0.31682513583071203,5.767693883458444,1.336632826054202,BPI12,em7aqjhd,llama32-1b
0.3118565913640263,4.7271279684638925,2.041949779626162,BPI12,em7aqjhd,llama32-1b
0.34508149842722335,3.054114339963211,1.8944561334083447,BPI12,em7aqjhd,llama32-1b
0.5453066914498141,1.4022509347789112,1.06702813069787,BPI12,em7aqjhd,llama32-1b
0.7104482413497284,0.8934168913618714,1.1002056870267567,BPI12,em7aqjhd,llama32-1b
0.6903238490134401,0.9231137452651884,1.4054516685036273,BPI12,em7aqjhd,llama32-1b
0.8367414762515175,0.4994290548286772,0.6092432884315504,BPI17,n1vipbjr,qwen25-05b
0.833038300065789,0.5167228448075718,0.609501894588526,BPI17,n1vipbjr,qwen25-05b
0.8138306169925598,0.5649611085465122,0.6121837996864736,BPI17,n1vipbjr,qwen25-05b
0.70915484838003,1.0770830180589184,0.6529466968853344,BPI17,n1vipbjr,qwen25-05b
